symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-12-31 20:00:00,2020-01-02 16:00:00,108.585,108.3698,108.3698,109.01539,0.5387,-21.5,-105.49,-91.87,5,stop_loss,OK,31.69661,0.14346,-4.3519,1.1498,new_york,2019
USDJPY,1,2020-01-03 00:00:00,2020-01-03 04:00:00,108.564,108.31696,108.31696,109.05807,0.4652,-24.7,-104.58,-107.94,1,stop_loss,OK,31.61691,0.16469,-3.14927,0.34583,tokyo,2020
USDJPY,1,2020-01-22 04:00:00,2020-01-23 00:00:00,109.904,109.69431,109.69431,110.32338,0.5424,-21.0,-103.5,-94.19,5,stop_loss,OK,27.60978,0.13979,0.44118,3.74518,tokyo,2020
USDJPY,1,2020-01-24 00:00:00,2020-01-24 16:00:00,109.492,109.25913,109.25913,109.95774,0.484,-23.3,-102.57,-106.06,4,stop_loss,OK,32.31297,0.15525,-1.88541,2.7497,tokyo,2020
USDJPY,1,2020-01-27 04:00:00,2020-01-28 20:00:00,108.978,109.147,108.69834,109.53731,0.3988,16.9,61.33,61.69,10,time_exit,OK,38.94559,0.18644,-3.7919,1.74046,tokyo,2020
USDJPY,1,2020-01-28 20:00:00,2020-01-30 12:00:00,109.13,108.80035,108.80035,109.7893,0.3404,-33.0,-102.11,-93.5,10,stop_loss,OK,48.78585,0.21977,-1.48786,0.59871,new_york,2020
USDJPY,1,2020-02-25 00:00:00,2020-02-25 16:00:00,110.706,110.17807,110.17807,111.76186,0.2106,-52.8,-101.18,-102.7,4,stop_loss,OK,32.8901,0.35195,-0.05784,2.46005,tokyo,2020
USDJPY,1,2020-02-25 16:00:00,2020-02-25 20:00:00,110.603,110.07012,110.07012,111.66877,0.2065,-53.3,-100.14,-101.63,1,stop_loss,OK,33.13642,0.35526,-0.3815,2.31864,new_york,2020
USDJPY,1,2020-02-26 00:00:00,2020-02-27 16:00:00,110.199,110.175,109.64447,111.30805,0.1965,-2.4,-4.29,-0.92,10,time_exit,OK,35.2891,0.36968,-1.31409,2.08823,tokyo,2020
USDJPY,1,2020-02-27 20:00:00,2020-02-28 00:00:00,110.174,109.59063,109.59063,111.34073,0.1867,-58.3,-99.11,-98.94,1,stop_loss,OK,32.05964,0.38891,-0.91809,1.48674,new_york,2020
USDJPY,1,2020-03-02 04:00:00,2020-03-03 20:00:00,107.908,107.14528,107.14528,109.43345,0.1414,-76.3,-98.14,-98.02,10,stop_loss,OK,44.96827,0.50848,-4.12166,0.29663,tokyo,2020
USDJPY,1,2020-03-27 00:00:00,2020-03-27 04:00:00,109.566,108.58476,108.58476,111.52849,0.1088,-98.1,-97.15,-97.94,1,stop_loss,OK,20.37189,0.65416,0.04693,1.46023,tokyo,2020
USDJPY,1,2020-03-27 12:00:00,2020-03-27 16:00:00,108.918,107.89333,107.89333,110.96734,0.1031,-102.5,-96.14,-96.88,1,stop_loss,OK,23.4227,0.68311,-0.83653,1.25764,london,2020
USDJPY,1,2020-03-30 08:00:00,2020-04-01 00:00:00,107.602,107.491,106.60096,109.60408,0.1045,-11.1,-10.56,-9.61,10,time_exit,OK,30.96742,0.66736,-2.40442,0.91789,tokyo,2020
USDJPY,1,2020-04-01 08:00:00,2020-04-03 00:00:00,107.762,108.065,106.80957,109.66686,0.1097,30.3,30.25,33.02,10,time_exit,OK,29.41254,0.63495,-1.53985,0.33404,tokyo,2020
USDJPY,1,2020-04-13 12:00:00,2020-04-13 20:00:00,107.953,107.54024,107.54024,108.77852,0.2541,-41.3,-95.44,-97.28,2,stop_loss,OK,23.82183,0.27517,-2.09797,0.12899,london,2020
USDJPY,1,2020-05-26 20:00:00,2020-05-28 12:00:00,107.564,107.762,107.27821,108.13558,0.3633,19.8,65.46,74.65,10,time_exit,OK,20.14597,0.19053,0.31006,0.25565,new_york,2020
USDJPY,1,2020-06-09 00:00:00,2020-06-09 04:00:00,108.424,107.95799,107.95799,109.35602,0.2245,-46.6,-95.2,-96.83,1,stop_loss,OK,32.7788,0.31067,-0.37497,2.22326,tokyo,2020
USDJPY,1,2020-06-09 16:00:00,2020-06-10 08:00:00,107.916,107.4152,107.4152,108.91759,0.2068,-50.1,-94.24,-94.06,4,stop_loss,OK,33.87984,0.33386,-1.62518,1.79402,new_york,2020
USDJPY,1,2020-06-10 16:00:00,2020-06-11 08:00:00,107.34,106.88868,106.88868,108.24264,0.2272,-45.1,-93.31,-89.41,4,stop_loss,OK,36.53153,0.30088,-3.07563,1.41348,new_york,2020
USDJPY,1,2020-06-11 08:00:00,2020-06-11 16:00:00,107.082,106.63624,106.63624,107.97351,0.2278,-44.6,-92.4,-94.05,2,stop_loss,OK,41.05241,0.29717,-3.40516,0.9507,tokyo,2020
USDJPY,1,2020-06-11 16:00:00,2020-06-15 08:00:00,106.86,107.306,106.39618,107.78764,0.2167,44.6,87.95,93.43,10,time_exit,OK,41.81618,0.30921,-3.67951,0.6647,new_york,2020
