symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2021-06-16 08:00:00,2021-06-17 08:00:00,155.053,154.61405,154.61405,155.93089,0.2665,-43.9,-106.45,-96.83,6,stop_loss,OK,21.21087,0.29263,0.18645,3.28462,london,2021
GBPJPY,1,2021-06-17 08:00:00,2021-06-17 12:00:00,154.93,154.49177,154.49177,155.80647,0.2645,-43.8,-105.48,-105.56,1,stop_loss,OK,20.21658,0.29216,-0.18008,3.05823,london,2021
GBPJPY,1,2021-06-18 00:00:00,2021-06-18 08:00:00,153.352,152.75916,152.75916,154.53767,0.1936,-59.3,-104.44,-104.51,2,stop_loss,OK,29.30417,0.39522,-3.27106,1.84928,,2021
GBPJPY,1,2021-06-21 04:00:00,2021-06-21 08:00:00,152.424,151.73002,151.73002,153.81197,0.1637,-69.4,-103.38,-103.43,1,stop_loss,OK,44.67932,0.46266,-4.05647,0.67294,,2021
GBPJPY,1,2021-06-21 12:00:00,2021-06-22 00:00:00,152.159,153.75566,151.36067,153.75566,0.1409,159.7,204.72,206.39,3,take_profit,OK,49.26268,0.53222,-3.66952,0.31025,london,2021
GBPJPY,1,2021-06-22 00:00:00,2021-06-23 16:00:00,153.53,154.934,152.71532,155.15935,0.1408,140.4,179.89,181.56,10,time_exit,OK,45.19527,0.54312,-0.55351,0.17536,,2021
GBPJPY,1,2021-06-24 20:00:00,2021-06-28 12:00:00,154.308,154.102,153.56393,155.79615,0.1569,-20.6,-29.41,-21.84,10,time_exit,OK,24.85179,0.49605,0.15164,0.46694,new_york,2021
GBPJPY,1,2021-06-28 12:00:00,2021-06-28 16:00:00,154.176,153.52829,153.52829,155.47142,0.1799,-64.8,-106.04,-106.09,1,stop_loss,OK,22.99121,0.43181,0.03764,0.36202,london,2021
GBPJPY,1,2021-06-29 00:00:00,2021-06-29 12:00:00,153.56,152.9182,152.9182,154.8436,0.1797,-64.2,-104.95,-105.01,3,stop_loss,OK,22.44047,0.42787,-1.3525,0.26429,,2021
GBPJPY,1,2021-08-13 04:00:00,2021-08-13 08:00:00,152.49,152.07684,152.07684,153.31631,0.2763,-41.3,-103.88,-103.97,1,stop_loss,OK,20.45399,0.27544,-0.76541,0.33245,,2021
GBPJPY,1,2021-08-13 08:00:00,2021-08-13 12:00:00,152.517,152.11868,152.11868,153.31365,0.2838,-39.8,-102.87,-102.96,1,stop_loss,OK,21.34661,0.26555,-0.66509,0.32114,london,2021
GBPJPY,1,2021-08-13 16:00:00,2021-08-13 20:00:00,152.4,151.96927,151.96927,153.26146,0.2598,-43.1,-101.83,-101.91,1,stop_loss,OK,24.88637,0.28715,-0.91449,0.21102,new_york,2021
GBPJPY,1,2021-09-15 20:00:00,2021-09-17 12:00:00,151.26,151.802,150.70565,152.36871,0.1998,54.2,98.55,108.19,10,time_exit,OK,21.53348,0.36957,-1.56141,0.13155,new_york,2021
GBPJPY,1,2021-10-25 00:00:00,2021-10-26 12:00:00,156.016,157.58352,155.23224,157.58352,0.1429,156.8,203.84,205.53,9,take_profit,OK,30.00248,0.52251,-0.37297,5.2434,,2021
GBPJPY,1,2021-10-27 16:00:00,2021-10-29 08:00:00,156.211,156.596,155.47272,157.68756,0.1547,38.5,54.2,61.66,10,time_exit,OK,20.56084,0.49219,-0.63682,5.03625,new_york,2021
GBPJPY,1,2021-11-03 16:00:00,2021-11-04 12:00:00,155.518,154.82953,154.82953,156.89494,0.1669,-68.8,-104.56,-98.54,5,stop_loss,OK,20.03432,0.45898,-1.0345,3.19893,new_york,2021
GBPJPY,1,2021-11-05 00:00:00,2021-11-08 16:00:00,153.516,153.52,152.65591,155.23617,0.1323,0.4,0.48,5.26,10,time_exit,OK,23.08232,0.57339,-3.74426,2.02009,,2021
GBPJPY,1,2021-11-08 16:00:00,2021-11-10 08:00:00,153.507,153.239,152.69974,155.12153,0.1411,-26.8,-34.41,-31.03,10,time_exit,OK,36.29973,0.53818,-2.56875,0.8411,new_york,2021
GBPJPY,1,2022-01-24 00:00:00,2022-01-24 12:00:00,154.018,153.38231,153.38231,155.28938,0.1786,-63.6,-103.32,-103.37,3,stop_loss,OK,27.77735,0.42379,-3.91004,2.28934,,2022
GBPJPY,1,2022-01-25 00:00:00,2022-01-26 16:00:00,153.6,154.627,152.87089,155.05821,0.1542,102.7,144.11,145.93,10,time_exit,OK,36.57314,0.48607,-3.17557,1.22476,,2022
GBPJPY,1,2022-01-26 16:00:00,2022-01-28 08:00:00,154.402,154.717,153.70625,155.7935,0.1639,31.5,46.98,54.89,10,time_exit,OK,32.12691,0.46383,-0.87624,0.40693,new_york,2022
GBPJPY,1,2022-01-28 08:00:00,2022-01-28 20:00:00,154.825,154.113,154.113,156.24899,0.161,-71.2,-104.31,-104.37,3,stop_loss,OK,20.05606,0.47466,0.30593,0.17024,london,2022
GBPJPY,1,2022-02-14 04:00:00,2022-02-14 08:00:00,156.324,155.50702,155.50702,157.95796,0.1389,-81.7,-103.27,-103.31,1,stop_loss,OK,28.73216,0.54465,0.0604,1.85818,,2022
GBPJPY,1,2022-02-14 08:00:00,2022-02-14 12:00:00,156.375,155.59324,155.59324,157.93853,0.1437,-78.2,-102.23,-102.27,1,stop_loss,OK,27.59907,0.52118,0.15466,1.92726,london,2022
GBPJPY,1,2022-02-14 16:00:00,2022-02-16 08:00:00,156.252,156.859,155.36896,158.01808,0.1259,60.7,69.54,72.56,10,time_exit,OK,28.47563,0.58869,-0.01435,1.63108,new_york,2022
GBPJPY,1,2022-02-17 12:00:00,2022-02-21 04:00:00,156.578,156.579,155.80178,158.13043,0.1443,0.1,0.13,7.09,10,time_exit,OK,20.44426,0.51748,0.29229,1.79194,london,2022
GBPJPY,1,2022-02-21 04:00:00,2022-02-22 00:00:00,156.568,155.84621,155.84621,158.01159,0.1553,-72.2,-102.01,-100.17,5,stop_loss,OK,22.27455,0.4812,0.18864,1.81604,,2022
GBPJPY,1,2022-02-22 08:00:00,2022-02-24 00:00:00,155.996,155.802,155.33937,157.30925,0.169,-19.4,-29.84,-21.68,10,time_exit,OK,28.65142,0.43775,-0.94797,1.75282,london,2022
GBPJPY,1,2022-02-24 04:00:00,2022-02-24 08:00:00,155.802,155.15313,155.15313,157.09974,0.1707,-64.9,-100.79,-100.85,1,stop_loss,OK,27.87525,0.43258,-1.20195,1.43875,,2022
GBPJPY,1,2022-02-24 20:00:00,2022-02-28 00:00:00,154.179,153.33613,153.33613,155.86473,0.1301,-84.3,-99.79,-93.51,7,stop_loss,OK,37.44703,0.56191,-3.22863,0.63377,new_york,2022
GBPJPY,1,2022-02-28 04:00:00,2022-03-01 16:00:00,154.36,153.41689,153.41689,156.24623,0.1152,-94.3,-98.87,-97.51,9,stop_loss,OK,37.67928,0.62874,-2.01007,0.1006,,2022
GBPJPY,1,2022-03-30 12:00:00,2022-04-01 04:00:00,159.804,160.985,158.24108,162.92984,0.0688,118.1,73.94,77.26,10,time_exit,OK,32.3933,1.04195,0.16314,2.87873,london,2022
GBPJPY,1,2022-04-22 16:00:00,2022-04-25 04:00:00,165.442,164.38651,164.38651,167.55298,0.1027,-105.5,-98.64,-94.93,3,stop_loss,OK,40.83919,0.70366,-0.26507,5.91129,new_york,2022
GBPJPY,1,2022-04-25 04:00:00,2022-04-25 08:00:00,165.082,164.02682,164.02682,167.19237,0.1017,-105.5,-97.65,-97.69,1,stop_loss,OK,38.03296,0.70346,-0.70461,5.68468,,2022
GBPJPY,1,2022-04-26 00:00:00,2022-04-26 12:00:00,163.248,162.00501,162.00501,165.73398,0.0855,-124.3,-96.71,-96.74,3,stop_loss,OK,42.94904,0.82866,-2.31269,4.23272,,2022
GBPJPY,1,2022-04-27 04:00:00,2022-04-28 08:00:00,160.436,163.24457,159.03172,163.24457,0.0749,280.9,191.43,194.13,7,take_profit,OK,52.32174,0.93619,-4.10053,2.80052,,2022
GBPJPY,1,2022-04-28 08:00:00,2022-05-02 00:00:00,162.505,163.464,161.14252,165.22996,0.0788,95.9,68.77,72.57,10,time_exit,OK,48.33737,0.90832,-1.12016,2.08851,london,2022
GBPJPY,1,2022-05-02 00:00:00,2022-05-03 16:00:00,163.22,162.559,161.89064,165.87872,0.0813,-66.1,-48.9,-47.94,10,time_exit,OK,32.25378,0.88624,-0.19207,1.8455,,2022
GBPJPY,1,2022-05-06 04:00:00,2022-05-09 16:00:00,161.351,160.17318,160.17318,163.70664,0.0914,-117.8,-97.96,-94.66,9,stop_loss,OK,21.59341,0.78521,-1.78932,1.04428,,2022
GBPJPY,1,2022-05-09 16:00:00,2022-05-09 20:00:00,161.963,160.84774,160.84774,164.19352,0.0956,-111.5,-97.02,-97.05,1,stop_loss,OK,28.92107,0.74351,-0.42217,0.54771,new_york,2022
GBPJPY,1,2022-05-10 08:00:00,2022-05-10 12:00:00,161.326,160.07849,160.07849,163.82102,0.0846,-124.8,-96.04,-96.07,1,stop_loss,OK,27.49841,0.83167,-0.88951,0.27969,london,2022
GBPJPY,1,2022-05-10 20:00:00,2022-05-11 20:00:00,160.33,159.08657,159.08657,162.81687,0.084,-124.3,-95.05,-94.05,6,stop_loss,OK,25.61462,0.82896,-1.83813,0.09578,new_york,2022
GBPJPY,1,2022-06-13 00:00:00,2022-06-13 08:00:00,165.45,164.30998,164.30998,167.73004,0.0907,-114.0,-94.09,-94.12,2,stop_loss,OK,40.06032,0.76001,0.21662,3.67467,,2022
GBPJPY,1,2022-06-14 08:00:00,2022-06-14 12:00:00,163.897,162.56864,162.56864,166.55372,0.0771,-132.8,-93.2,-93.22,1,stop_loss,OK,37.51834,0.88557,-1.15673,2.62386,london,2022
GBPJPY,1,2022-06-15 00:00:00,2022-06-16 12:00:00,162.474,161.05683,161.05683,165.30833,0.0715,-141.7,-92.21,-89.63,9,stop_loss,OK,37.22457,0.94478,-2.16909,2.08338,,2022
GBPJPY,1,2022-06-16 16:00:00,2022-06-17 04:00:00,162.288,165.51642,160.67379,165.51642,0.0622,322.8,182.73,183.47,3,take_profit,OK,33.46098,1.07614,-1.49076,1.21303,new_york,2022
GBPJPY,1,2022-06-17 04:00:00,2022-06-20 20:00:00,164.188,165.439,162.56182,167.44036,0.063,125.1,71.72,73.99,10,time_exit,OK,31.00012,1.08412,0.30651,1.14455,,2022
GBPJPY,1,2022-06-24 04:00:00,2022-06-27 20:00:00,165.513,166.174,164.18325,168.1725,0.0776,66.1,46.68,49.48,10,time_exit,OK,20.05502,0.8865,0.20132,2.1009,,2022
GBPJPY,1,2022-07-01 12:00:00,2022-07-01 16:00:00,163.979,162.92551,162.92551,166.08598,0.0985,-105.3,-94.43,-94.46,1,stop_loss,OK,20.80419,0.70233,-2.11938,2.00182,london,2022
GBPJPY,1,2022-07-01 20:00:00,2022-07-05 12:00:00,162.951,162.597,161.67737,165.49826,0.0806,-35.4,-25.96,-22.08,10,time_exit,OK,27.10105,0.84909,-2.71009,1.43652,new_york,2022
GBPJPY,1,2022-07-06 00:00:00,2022-07-06 12:00:00,162.042,160.74344,160.74344,164.63913,0.0789,-129.9,-93.24,-93.26,3,stop_loss,OK,26.31248,0.86571,-2.46757,0.69196,,2022
GBPJPY,1,2022-07-06 12:00:00,2022-07-08 04:00:00,161.713,162.771,160.34551,164.44797,0.0742,105.8,71.44,75.02,10,time_exit,OK,29.73964,0.91166,-2.81518,0.38572,london,2022
GBPJPY,1,2022-07-22 08:00:00,2022-07-22 12:00:00,164.846,163.89096,163.89096,166.75607,0.1071,-95.5,-93.08,-93.11,1,stop_loss,OK,23.03532,0.63669,0.13021,1.04866,london,2022
GBPJPY,1,2022-07-25 04:00:00,2022-07-26 20:00:00,163.321,164.694,162.30871,165.34559,0.1,137.3,124.94,126.13,10,time_exit,OK,27.79574,0.67486,-1.83075,0.72373,,2022
GBPJPY,1,2022-07-29 16:00:00,2022-08-01 04:00:00,162.422,161.20967,161.20967,164.84667,0.0846,-121.2,-93.33,-90.28,3,stop_loss,OK,21.91201,0.80822,-2.28005,0.19033,new_york,2022
