symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,session,year,ema_distance,trend_gap
XAUUSD,2020-01-29 08:00:00,2020-01-31 00:00:00,1567.07,1573.98,1557.08237,1587.01527,0.9461,69.1,65.38,64.98,10,time_exit,22.3,6.65176,london,2020,,
XAUUSD,2020-02-05 00:00:00,2020-02-06 16:00:00,1552.59,1565.33,1541.34602,1575.40796,0.8462,127.4,107.81,107.41,10,time_exit,24.0,7.56932,,2020,,
XAUUSD,2020-02-06 16:00:00,2020-02-10 08:00:00,1563.79,1574.33,1553.3945,1584.821,0.9256,105.4,97.56,97.16,10,time_exit,25.8,6.98367,new_york,2020,,
XAUUSD,2020-02-28 16:00:00,2020-02-28 20:00:00,1628.87,1607.26503,1607.26503,1671.83994,0.4498,-216.0,-97.18,-97.58,1,stop_loss,22.0,14.34998,new_york,2020,,
XAUUSD,2020-03-02 00:00:00,2020-03-03 16:00:00,1591.59,1640.7025,1558.15375,1640.7025,0.2877,491.1,141.3,140.9,10,take_profit,26.7,18.34417,,2020,,
XAUUSD,2020-03-03 16:00:00,2020-03-04 00:00:00,1605.29,1651.9606,1581.9547,1651.9606,0.4183,466.7,195.22,194.82,2,take_profit,32.0,15.55687,new_york,2020,,
XAUUSD,2020-03-12 04:00:00,2020-03-12 12:00:00,1647.29,1621.90713,1621.90713,1698.14575,0.3923,-253.8,-99.58,-99.98,2,stop_loss,20.7,16.94192,,2020,,
XAUUSD,2020-03-12 12:00:00,2020-03-12 16:00:00,1642.89,1617.5239,1617.5239,1693.6222,0.3886,-253.7,-98.57,-98.97,1,stop_loss,22.6,16.91073,london,2020,,
XAUUSD,2020-03-13 04:00:00,2020-03-13 16:00:00,1579.38,1546.7694,1546.7694,1644.6012,0.2992,-326.1,-97.57,-97.97,3,stop_loss,33.6,21.7404,,2020,,
XAUUSD,2020-03-13 16:00:00,2020-03-13 20:00:00,1594.86,1561.79081,1561.79081,1661.20839,0.2921,-330.7,-96.6,-97.0,1,stop_loss,39.4,22.0928,new_york,2020,,
XAUUSD,2020-03-16 00:00:00,2020-03-16 12:00:00,1563.8,1488.05687,1488.05687,1610.25626,0.1263,-757.4,-95.66,-96.06,3,stop_loss,44.0,27.15542,,2020,,
XAUUSD,2020-03-16 20:00:00,2020-03-18 12:00:00,1508.83,1497.16,1457.09453,1612.30093,0.183,-116.7,-21.36,-21.76,10,time_exit,46.3,34.49031,new_york,2020,,
XAUUSD,2020-04-01 04:00:00,2020-04-02 20:00:00,1580.09,1611.64,1553.8889,1632.49219,0.3605,315.5,113.74,113.34,10,time_exit,27.5,17.4674,,2020,,
XAUUSD,2020-04-20 08:00:00,2020-04-22 00:00:00,1681.35,1687.31,1659.06309,1725.92383,0.4289,59.6,25.56,25.16,10,time_exit,30.1,14.85794,london,2020,,
XAUUSD,2020-04-22 00:00:00,2020-04-23 12:00:00,1687.59,1732.10755,1659.09123,1732.10755,0.3363,445.2,149.71,149.31,9,take_profit,22.0,16.22585,,2020,,
XAUUSD,2020-04-28 12:00:00,2020-04-30 04:00:00,1702.06,1711.93,1683.79027,1739.34946,0.5327,98.7,52.58,52.18,10,time_exit,21.2,12.34649,london,2020,,
XAUUSD,2020-05-01 04:00:00,2020-05-04 20:00:00,1687.4,1701.44,1668.49191,1725.21617,0.5175,140.4,72.66,72.26,10,time_exit,21.2,12.60539,,2020,,
XAUUSD,2020-05-22 00:00:00,2020-05-25 16:00:00,1725.7,1727.65,1712.03838,1757.01324,0.7215,19.5,14.07,13.67,10,time_exit,21.1,9.99441,,2020,,
XAUUSD,2020-05-26 04:00:00,2020-05-26 16:00:00,1731.49,1719.03024,1719.03024,1756.46952,0.7922,-124.6,-98.71,-99.11,3,stop_loss,20.3,8.31984,,2020,,
XAUUSD,2020-05-26 16:00:00,2020-05-26 20:00:00,1726.08,1713.65028,1713.65028,1750.93944,0.7862,-124.3,-97.72,-98.12,1,stop_loss,21.9,8.28648,new_york,2020,,
XAUUSD,2020-05-27 04:00:00,2020-05-27 12:00:00,1713.4,1700.52178,1700.52178,1739.15645,0.7512,-128.8,-96.74,-97.14,2,stop_loss,27.4,8.58548,,2020,,
XAUUSD,2020-05-27 20:00:00,2020-05-29 12:00:00,1708.0,1730.67,1693.99951,1735.91099,0.684,226.7,155.06,154.66,10,time_exit,35.3,9.31366,new_york,2020,,
XAUUSD,2020-05-29 12:00:00,2020-06-02 04:00:00,1726.17,1736.51,1713.00306,1752.50389,0.7391,103.4,76.42,76.02,10,time_exit,32.1,8.77796,london,2020,,
XAUUSD,2020-06-04 04:00:00,2020-06-05 12:00:00,1700.05,1684.71995,1684.71995,1731.1001,0.6398,-153.3,-98.08,-98.48,8,stop_loss,30.7,10.3067,,2020,,
