symbol,seed,expectancy,pf,n_signals,real_expectancy,real_pf
XAUUSD,13,5.035165289256198,1.09,666,4.249722222222221,1.09
XAUUSD,14,5.293584521384928,1.1,666,4.249722222222221,1.09
GBPJPY,10,19.18851106639839,1.3,676,-5.285084033613447,0.9
GBPJPY,11,20.135628865979378,1.33,676,-5.285084033613447,0.9
GBPJPY,12,8.976857749469215,1.19,676,-5.285084033613447,0.9
GBPJPY,13,9.87935817805383,1.18,676,-5.285084033613447,0.9
GBPJPY,14,10.103887733887733,1.19,676,-5.285084033613447,0.9
USDJPY,15,6.348486842105263,1.13,611,-4.376604651162789,0.92
USDJPY,16,19.44388888888889,1.34,611,-4.376604651162789,0.92
USDJPY,17,6.963896103896103,1.13,611,-4.376604651162789,0.92
USDJPY,18,10.829134396355352,1.21,611,-4.376604651162789,0.92
USDJPY,19,-1.859976744186046,0.96,611,-4.376604651162789,0.92
XAUUSD,15,4.828930041152262,1.08,666,4.249722222222221,1.09
XAUUSD,16,5.114229979466117,1.09,666,4.249722222222221,1.09
XAUUSD,17,7.7782663847780125,1.14,666,4.249722222222221,1.09
XAUUSD,18,14.224831223628692,1.23,666,4.249722222222221,1.09
XAUUSD,19,14.850335429769391,1.25,666,4.249722222222221,1.09
GBPJPY,15,4.29700205338809,1.08,676,-5.285084033613447,0.9
GBPJPY,16,6.392740286298568,1.11,676,-5.285084033613447,0.9
GBPJPY,17,7.6837449392712545,1.13,676,-5.285084033613447,0.9
GBPJPY,18,4.185746887966805,1.08,676,-5.285084033613447,0.9
GBPJPY,19,11.086242038216563,1.21,676,-5.285084033613447,0.9
USDJPY,20,6.752743764172336,1.13,611,-4.376604651162789,0.92
USDJPY,21,21.36232876712329,1.34,611,-4.376604651162789,0.92
USDJPY,22,7.466402714932127,1.14,611,-4.376604651162789,0.92
USDJPY,23,10.091111111111111,1.19,611,-4.376604651162789,0.92
USDJPY,24,2.5784682713347933,1.05,611,-4.376604651162789,0.92
XAUUSD,20,4.547221095334685,1.07,666,4.249722222222221,1.09
XAUUSD,21,9.130833333333335,1.17,666,4.249722222222221,1.09
XAUUSD,22,8.109958419958419,1.13,666,4.249722222222221,1.09
XAUUSD,23,9.604399141630902,1.16,666,4.249722222222221,1.09
XAUUSD,24,18.69392033542977,1.28,666,4.249722222222221,1.09
GBPJPY,20,8.29861855670103,1.16,676,-5.285084033613447,0.9
GBPJPY,21,7.356784968684759,1.13,676,-5.285084033613447,0.9
GBPJPY,22,5.454621676891614,1.11,676,-5.285084033613447,0.9
GBPJPY,23,7.3525732217573205,1.13,676,-5.285084033613447,0.9
GBPJPY,24,11.502264150943397,1.19,676,-5.285084033613447,0.9
USDJPY,25,8.108119266055047,1.15,611,-4.376604651162789,0.92
USDJPY,26,10.556986301369864,1.19,611,-4.376604651162789,0.92
USDJPY,27,12.5865548098434,1.23,611,-4.376604651162789,0.92
USDJPY,28,9.99988986784141,1.18,611,-4.376604651162789,0.92
USDJPY,29,9.19092550790068,1.18,611,-4.376604651162789,0.92
XAUUSD,25,8.019324894514767,1.14,666,4.249722222222221,1.09
XAUUSD,26,22.27656652360515,1.3,666,4.249722222222221,1.09
XAUUSD,27,0.7663135593220333,1.01,666,4.249722222222221,1.09
XAUUSD,28,11.10671487603306,1.19,666,4.249722222222221,1.09
XAUUSD,29,4.182359081419625,1.07,666,4.249722222222221,1.09
GBPJPY,25,4.829075630252102,1.09,676,-5.285084033613447,0.9
GBPJPY,26,2.2902834008097157,1.05,676,-5.285084033613447,0.9
GBPJPY,27,20.23272727272727,1.31,676,-5.285084033613447,0.9
GBPJPY,28,11.548254620123203,1.2,676,-5.285084033613447,0.9
GBPJPY,29,6.743271983640082,1.14,676,-5.285084033613447,0.9
