symbol,seed,expectancy,pf,n_signals,signed,real_expectancy,real_pf
USDJPY,25,9.004999999999999,1.17,611,True,-4.376604651162789,0.92
USDJPY,26,-6.799476082004556,0.86,611,True,-4.376604651162789,0.92
USDJPY,27,-1.4195525727069345,0.97,611,True,-4.376604651162789,0.92
USDJPY,28,-3.6807079646017695,0.93,611,True,-4.376604651162789,0.92
USDJPY,29,9.399820627802688,1.19,611,True,-4.376604651162789,0.92
USDJPY,30,-4.601002277904327,0.9,611,True,-4.376604651162789,0.92
USDJPY,31,-3.627293064876958,0.92,611,True,-4.376604651162789,0.92
USDJPY,32,13.728750000000002,1.24,611,True,-4.376604651162789,0.92
USDJPY,33,0.3163133640552987,1.01,611,True,-4.376604651162789,0.92
USDJPY,34,-0.9338513513513516,0.98,611,True,-4.376604651162789,0.92
USDJPY,35,-2.2644594594594603,0.95,611,True,-4.376604651162789,0.92
USDJPY,36,4.81863043478261,1.09,611,True,-4.376604651162789,0.92
USDJPY,37,-2.057623318385652,0.96,611,True,-4.376604651162789,0.92
USDJPY,38,-1.2309839816933634,0.98,611,True,-4.376604651162789,0.92
USDJPY,39,-2.8874034334763947,0.94,611,True,-4.376604651162789,0.92
USDJPY,40,14.754553775743707,1.24,611,True,-4.376604651162789,0.92
USDJPY,41,-3.1623296703296697,0.94,611,True,-4.376604651162789,0.92
USDJPY,42,-5.487418655097615,0.88,611,True,-4.376604651162789,0.92
USDJPY,43,7.049426605504586,1.14,611,True,-4.376604651162789,0.92
USDJPY,44,9.105456621004565,1.16,611,True,-4.376604651162789,0.92
USDJPY,45,4.540886363636363,1.08,611,True,-4.376604651162789,0.92
USDJPY,46,4.0590044247787604,1.08,611,True,-4.376604651162789,0.92
USDJPY,47,-5.894733333333334,0.86,611,True,-4.376604651162789,0.92
USDJPY,48,-6.188876651982379,0.88,611,True,-4.376604651162789,0.92
USDJPY,49,4.953923766816143,1.09,611,True,-4.376604651162789,0.92
XAUUSD,0,5.3414405010438415,1.08,666,True,4.249722222222221,1.09
XAUUSD,1,-2.4416808510638304,0.95,666,True,4.249722222222221,1.09
XAUUSD,2,-1.938595387840671,0.96,666,True,4.249722222222221,1.09
XAUUSD,3,7.590991735537192,1.13,666,True,4.249722222222221,1.09
XAUUSD,4,1.4156118143459917,1.03,666,True,4.249722222222221,1.09
XAUUSD,5,17.33324561403509,1.31,666,True,4.249722222222221,1.09
XAUUSD,6,4.210085287846481,1.08,666,True,4.249722222222221,1.09
XAUUSD,7,0.7847119341563777,1.02,666,True,4.249722222222221,1.09
XAUUSD,8,9.303424947145876,1.15,666,True,4.249722222222221,1.09
XAUUSD,9,-3.495820895522388,0.94,666,True,4.249722222222221,1.09
XAUUSD,10,-0.8655602536997897,0.98,666,True,4.249722222222221,1.09
XAUUSD,11,2.485911016949151,1.05,666,True,4.249722222222221,1.09
XAUUSD,12,10.070822784810126,1.17,666,True,4.249722222222221,1.09
XAUUSD,13,5.9046458333333325,1.1,666,True,4.249722222222221,1.09
XAUUSD,14,3.047418699186991,1.06,666,True,4.249722222222221,1.09
XAUUSD,15,5.848049792531121,1.1,666,True,4.249722222222221,1.09
XAUUSD,16,-3.0071111111111106,0.94,666,True,4.249722222222221,1.09
XAUUSD,17,-4.611247357293869,0.91,666,True,4.249722222222221,1.09
XAUUSD,18,8.954831932773109,1.15,666,True,4.249722222222221,1.09
XAUUSD,19,5.6799575371549915,1.1,666,True,4.249722222222221,1.09
XAUUSD,20,-1.0434773662551435,0.98,666,True,4.249722222222221,1.09
XAUUSD,21,-5.0915856236786485,0.89,666,True,4.249722222222221,1.09
XAUUSD,22,2.5708488612836455,1.05,666,True,4.249722222222221,1.09
XAUUSD,23,5.26552106430155,1.09,666,True,4.249722222222221,1.09
XAUUSD,24,-4.571416837782343,0.91,666,True,4.249722222222221,1.09
XAUUSD,25,-1.7347589098532505,0.96,666,True,4.249722222222221,1.09
XAUUSD,26,14.054427966101693,1.21,666,True,4.249722222222221,1.09
XAUUSD,27,-1.1602760084925683,0.98,666,True,4.249722222222221,1.09
XAUUSD,28,-2.5133264033264036,0.96,666,True,4.249722222222221,1.09
XAUUSD,29,13.74162551440329,1.21,666,True,4.249722222222221,1.09
XAUUSD,30,3.268966244725739,1.06,666,True,4.249722222222221,1.09
XAUUSD,31,0.28265690376569064,1.0,666,True,4.249722222222221,1.09
XAUUSD,32,-4.776524390243903,0.91,666,True,4.249722222222221,1.09
XAUUSD,33,1.9137499999999985,1.03,666,True,4.249722222222221,1.09
XAUUSD,34,-1.6321443736730346,0.97,666,True,4.249722222222221,1.09
XAUUSD,35,4.344041666666664,1.08,666,True,4.249722222222221,1.09
XAUUSD,36,-2.5083870967741935,0.95,666,True,4.249722222222221,1.09
XAUUSD,37,-2.7606263048016713,0.94,666,True,4.249722222222221,1.09
XAUUSD,38,9.679402061855669,1.14,666,True,4.249722222222221,1.09
