symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,2022-06-21 16:00:00,2022-06-23 08:00:00,1836.19,1833.06,1822.87744,1862.81513,1.2482,-31.3,-39.07,-39.47,10,time_exit,8.72117,8.87504,-0.40783,-1.57195,new_york,2022
XAUUSD,2022-07-01 04:00:00,2022-07-01 08:00:00,1806.42,1793.03998,1793.03998,1833.18003,1.239,-133.8,-165.78,-166.18,1,stop_loss,12.01431,8.92001,-2.10638,-2.02245,,2022
XAUUSD,2022-07-05 00:00:00,2022-07-05 16:00:00,1807.82,1795.31209,1795.31209,1832.83583,1.3121,-125.1,-164.12,-164.52,4,stop_loss,14.55795,8.33861,-1.19383,-2.55205,,2022
XAUUSD,2022-07-06 16:00:00,2022-07-06 20:00:00,1765.2,1751.44046,1751.44046,1792.71907,1.1808,-137.6,-162.47,-162.87,1,stop_loss,27.40582,9.17302,-4.38339,-3.07585,new_york,2022
XAUUSD,2022-07-08 12:00:00,2022-07-12 04:00:00,1737.88,1723.75852,1723.75852,1766.12296,1.139,-141.2,-160.84,-161.24,10,stop_loss,41.56472,9.41432,-4.74612,-4.41149,london,2022
XAUUSD,2022-07-15 08:00:00,2022-07-19 00:00:00,1709.38,1707.74,1694.19425,1739.75149,1.0486,-16.4,-17.2,-17.6,10,time_exit,44.88032,10.12383,-3.32608,-5.60117,london,2022
XAUUSD,2022-07-19 12:00:00,2022-07-20 20:00:00,1713.26,1700.07037,1700.07037,1739.63925,1.2059,-131.9,-159.05,-159.45,8,stop_loss,30.7256,8.79308,-1.88536,-6.70818,london,2022
XAUUSD,2022-07-25 16:00:00,2022-07-27 08:00:00,1724.73,1723.55,1710.31674,1753.55651,1.0925,-11.8,-12.89,-13.29,10,time_exit,25.54362,9.60884,0.4698,-5.39381,new_york,2022
XAUUSD,2022-07-27 16:00:00,2022-07-28 08:00:00,1718.04,1741.99147,1706.06427,1741.99147,1.3137,239.5,314.65,314.25,4,take_profit,20.00255,7.98382,-0.22554,-5.78252,new_york,2022
XAUUSD,2022-08-03 08:00:00,2022-08-05 00:00:00,1768.88,1794.05,1753.76823,1799.10353,1.0619,251.7,267.28,266.88,10,time_exit,34.88331,10.07451,1.95863,-1.55306,london,2022
XAUUSD,2022-08-11 08:00:00,2022-08-15 00:00:00,1785.3,1801.2,1773.18098,1809.53803,1.3461,159.0,214.03,213.63,10,time_exit,20.79972,8.07934,0.9761,0.84534,london,2022
XAUUSD,2022-08-18 12:00:00,2022-08-19 00:00:00,1766.19,1755.21802,1755.21802,1788.13396,1.5063,-109.7,-165.27,-165.67,3,stop_loss,21.4315,7.31465,-1.58178,0.61475,london,2022
XAUUSD,2022-08-19 16:00:00,2022-08-19 20:00:00,1756.42,1745.6377,1745.6377,1777.98461,1.5175,-107.8,-163.62,-164.02,1,stop_loss,23.99038,7.1882,-2.26929,0.0767,new_york,2022
XAUUSD,2022-08-24 00:00:00,2022-08-25 16:00:00,1747.45,1758.25,1735.57141,1771.20718,1.3636,108.0,147.27,146.87,10,time_exit,34.33501,7.91906,-1.428,-1.13794,,2022
XAUUSD,2022-08-29 20:00:00,2022-08-30 16:00:00,1738.11,1725.09517,1725.09517,1764.13965,1.2558,-130.1,-163.44,-163.84,5,stop_loss,24.54945,8.67655,-1.44274,-1.50261,new_york,2022
XAUUSD,2022-08-31 04:00:00,2022-08-31 12:00:00,1723.14,1711.98297,1711.98297,1745.45405,1.4503,-111.6,-161.81,-162.21,2,stop_loss,21.71146,7.43802,-2.98225,-2.15277,,2022
XAUUSD,2022-09-05 12:00:00,2022-09-06 20:00:00,1711.89,1700.73995,1700.73995,1734.1901,1.4366,-111.5,-160.18,-160.58,8,stop_loss,23.36201,7.43337,-1.68548,-3.63514,london,2022
XAUUSD,2022-09-08 08:00:00,2022-09-12 00:00:00,1714.72,1716.96,1702.75897,1738.64206,1.3258,22.4,29.7,29.3,10,time_exit,16.81723,7.97402,-0.28088,-3.50681,london,2022
XAUUSD,2022-09-13 20:00:00,2022-09-15 04:00:00,1705.54,1690.92014,1690.92014,1734.77973,1.0867,-146.2,-158.87,-159.27,8,stop_loss,20.85827,9.74658,-1.27472,-2.24783,new_york,2022
XAUUSD,2022-09-16 16:00:00,2022-09-20 08:00:00,1660.32,1668.95,1646.5307,1687.8986,1.1406,86.3,98.43,98.03,10,time_exit,38.47044,9.19287,-4.3502,-3.36376,new_york,2022
XAUUSD,2022-09-20 08:00:00,2022-09-20 16:00:00,1673.51,1660.1828,1660.1828,1700.1644,1.1875,-133.3,-158.26,-158.66,2,stop_loss,30.86799,8.8848,-1.95642,-3.90523,london,2022
XAUUSD,2022-09-20 20:00:00,2022-09-22 12:00:00,1664.06,1681.92,1651.21664,1689.74672,1.2199,178.6,217.87,217.47,10,time_exit,30.31173,8.56224,-2.81696,-4.16679,new_york,2022
XAUUSD,2022-09-27 00:00:00,2022-09-28 16:00:00,1623.62,1659.24,1604.04698,1662.76605,0.8116,356.2,289.09,288.69,10,time_exit,27.28021,13.04868,-3.39209,-3.24838,,2022
XAUUSD,2022-09-28 20:00:00,2022-09-30 12:00:00,1659.24,1664.58,1640.55914,1696.60173,0.8658,53.4,46.23,45.83,10,time_exit,27.17189,12.45391,0.37104,-3.73085,new_york,2022
XAUUSD,2022-10-03 00:00:00,2022-10-03 16:00:00,1662.36,1693.66529,1646.70735,1693.66529,1.0362,313.1,324.39,323.99,4,take_profit,19.70244,10.4351,0.39032,-3.76331,,2022
XAUUSD,2022-10-17 12:00:00,2022-10-19 04:00:00,1655.36,1646.36,1639.19577,1687.68847,1.0235,-90.0,-92.12,-92.52,10,time_exit,28.60115,10.77616,-1.47939,-1.67336,london,2022
XAUUSD,2022-10-20 00:00:00,2022-10-21 16:00:00,1629.3,1651.5,1615.52757,1656.84487,1.1945,222.0,265.18,264.78,10,time_exit,20.53972,9.18162,-3.41041,-2.53537,,2022
XAUUSD,2022-10-24 16:00:00,2022-10-26 08:00:00,1649.27,1673.02,1633.72262,1680.36475,1.0751,237.5,255.34,254.94,10,time_exit,22.55652,10.36492,-0.1366,-2.53999,new_york,2022
XAUUSD,2022-10-27 08:00:00,2022-10-28 08:00:00,1665.44,1651.37214,1651.37214,1693.57573,1.2063,-140.7,-169.7,-170.1,6,stop_loss,26.22357,9.37858,1.22708,-2.13322,london,2022
XAUUSD,2022-10-28 16:00:00,2022-11-01 08:00:00,1643.3,1647.49,1629.07199,1671.75603,1.1808,41.9,49.48,49.08,10,time_exit,22.84581,9.48534,-1.23257,-1.8709,new_york,2022
XAUUSD,2022-11-03 04:00:00,2022-11-03 12:00:00,1637.87,1623.16585,1623.16585,1667.27829,1.1459,-147.0,-168.49,-168.89,2,stop_loss,19.93916,9.80276,-1.11224,-1.88086,,2022
XAUUSD,2022-11-04 16:00:00,2022-11-08 08:00:00,1659.6,1671.54,1644.05984,1690.68032,1.0734,119.4,128.16,127.76,10,time_exit,17.61961,10.36011,1.38691,-1.86426,new_york,2022
XAUUSD,2022-11-15 04:00:00,2022-11-16 20:00:00,1769.18,1773.79,1753.97262,1799.59476,1.1053,46.1,50.95,50.55,10,time_exit,58.38035,10.13825,5.24354,3.19845,,2022
XAUUSD,2022-11-22 12:00:00,2022-11-23 04:00:00,1747.07,1735.11044,1735.11044,1770.98911,1.4097,-119.6,-168.59,-168.99,4,stop_loss,28.05057,7.97304,0.25522,5.08675,london,2022
XAUUSD,2022-11-25 16:00:00,2022-11-29 08:00:00,1748.4,1754.1,1738.03833,1769.12335,1.6107,57.0,91.81,91.41,10,time_exit,14.77019,6.90778,0.15583,5.10507,new_york,2022
XAUUSD,2022-11-30 16:00:00,2022-12-01 00:00:00,1755.13,1778.47564,1743.45718,1778.47564,1.4376,233.5,335.62,335.22,2,take_profit,14.44064,7.78188,0.6801,4.0087,new_york,2022
XAUUSD,2022-12-02 16:00:00,2022-12-05 16:00:00,1785.66,1770.52467,1770.52467,1815.93067,1.1309,-151.4,-171.17,-171.57,6,stop_loss,31.94083,10.09022,2.12402,3.75897,new_york,2022
XAUUSD,2022-12-06 08:00:00,2022-12-08 00:00:00,1770.94,1782.3,1755.50499,1801.81002,1.0978,113.6,124.71,124.31,10,time_exit,24.80898,10.29001,-0.07095,3.83858,london,2022
XAUUSD,2022-12-09 12:00:00,2022-12-12 20:00:00,1792.76,1780.84488,1780.84488,1816.59023,1.4326,-119.2,-170.7,-171.1,8,stop_loss,22.3533,7.94341,1.85424,4.67747,london,2022
XAUUSD,2022-12-19 20:00:00,2022-12-20 16:00:00,1789.93,1815.92925,1776.93037,1815.92925,1.2999,260.0,337.96,337.56,5,take_profit,16.39698,8.66642,0.18728,3.61799,new_york,2022
XAUUSD,2022-12-20 16:00:00,2022-12-22 08:00:00,1805.72,1816.98,1792.01188,1833.13624,1.2573,112.6,141.57,141.17,10,time_exit,16.80473,9.13875,1.74531,3.37052,new_york,2022
XAUUSD,2023-01-10 16:00:00,2023-01-12 08:00:00,1873.29,1884.36,1859.65879,1900.55242,1.2748,110.7,141.12,140.72,10,time_exit,35.46048,9.08747,3.04994,5.06242,new_york,2023
XAUUSD,2023-01-18 00:00:00,2023-01-19 16:00:00,1908.02,1920.1,1894.72468,1934.61064,1.3176,120.8,159.17,158.77,10,time_exit,42.88312,8.86355,2.3933,6.79611,,2023
XAUUSD,2023-01-20 04:00:00,2023-01-23 16:00:00,1931.62,1916.64833,1916.64833,1961.56334,1.1807,-149.7,-176.77,-177.17,9,stop_loss,33.12951,9.98111,3.35199,6.07321,,2023
XAUUSD,2023-01-30 20:00:00,2023-01-31 08:00:00,1924.27,1909.80814,1909.80814,1953.19372,1.21,-144.6,-174.99,-175.39,3,stop_loss,22.53095,9.64124,0.02982,5.77935,new_york,2023
XAUUSD,2023-02-01 20:00:00,2023-02-02 00:00:00,1925.73,1952.85334,1912.16833,1952.85334,1.2774,271.2,346.47,346.07,1,take_profit,22.18793,9.04111,0.18879,5.46148,new_york,2023
XAUUSD,2023-02-02 16:00:00,2023-02-02 20:00:00,1944.32,1929.07236,1929.07236,1974.81527,1.1589,-152.5,-176.7,-177.1,1,stop_loss,21.87781,10.16509,1.51514,4.97534,new_york,2023
XAUUSD,2023-02-07 12:00:00,2023-02-09 04:00:00,1873.33,1879.11,1857.9514,1904.08721,1.1375,57.8,65.75,65.35,10,time_exit,33.63043,10.2524,-3.14316,2.57956,london,2023
XAUUSD,2023-02-14 00:00:00,2023-02-15 08:00:00,1853.62,1839.32985,1839.32985,1882.20031,1.2287,-142.9,-175.58,-175.98,8,stop_loss,20.30215,9.52677,-2.78856,0.34223,,2023
XAUUSD,2023-02-15 20:00:00,2023-02-17 08:00:00,1834.93,1819.59947,1819.59947,1865.59107,1.1338,-153.3,-173.82,-174.22,9,stop_loss,26.51709,10.22036,-3.3404,-0.47651,new_york,2023
XAUUSD,2023-02-21 20:00:00,2023-02-22 20:00:00,1836.84,1824.98739,1824.98739,1860.54523,1.4518,-118.5,-172.08,-172.48,6,stop_loss,19.89279,7.90174,-1.64422,-2.06339,new_york,2023
XAUUSD,2023-03-08 16:00:00,2023-03-09 16:00:00,1813.67,1833.22845,1803.89078,1833.22845,1.742,195.6,340.71,340.31,6,take_profit,29.13067,6.51948,-2.98849,-2.4471,new_york,2023
XAUUSD,2023-03-09 16:00:00,2023-03-10 12:00:00,1825.16,1844.81129,1815.33435,1844.81129,1.7684,196.5,347.51,347.11,5,take_profit,23.59718,6.55043,-0.68521,-2.68249,new_york,2023
XAUUSD,2023-03-14 20:00:00,2023-03-15 08:00:00,1908.72,1891.2826,1891.2826,1943.5948,1.0164,-174.4,-177.23,-177.63,3,stop_loss,46.6132,11.62493,4.40407,0.44035,new_york,2023
XAUUSD,2023-03-16 00:00:00,2023-03-17 16:00:00,1918.74,1962.93852,1896.64074,1962.93852,0.7939,442.0,350.89,350.49,10,take_profit,41.18182,14.73284,3.21309,0.97255,,2023
XAUUSD,2023-03-23 20:00:00,2023-03-27 00:00:00,1994.24,1972.2056,1972.2056,2038.3088,0.8122,-220.3,-178.96,-179.36,7,stop_loss,31.82509,14.6896,3.8586,3.53061,new_york,2023
XAUUSD,2023-04-06 00:00:00,2023-04-06 16:00:00,2020.9,2004.96069,2004.96069,2052.77863,1.1115,-159.4,-177.17,-177.57,4,stop_loss,25.95898,10.62621,3.53994,5.33004,,2023
XAUUSD,2023-04-10 12:00:00,2023-04-10 16:00:00,1997.43,1982.37544,1982.37544,2027.53911,1.165,-150.5,-175.39,-175.79,1,stop_loss,20.08082,10.03637,0.71928,5.66232,london,2023
XAUUSD,2023-04-17 00:00:00,2023-04-18 16:00:00,1998.73,2007.17,1978.94166,2038.30668,0.8774,84.4,74.05,73.65,10,time_exit,27.66442,13.19223,-0.31685,4.22869,,2023
