datetime,open,high,low,close,volume
2019-11-05 10:00:00,1.11348,1.11403,1.11302,1.11334,3375
2019-11-05 11:00:00,1.11334,1.11344,1.11244,1.11292,2821
2019-11-05 12:00:00,1.11292,1.11314,1.11208,1.11218,2660
2019-11-05 13:00:00,1.11218,1.1125,1.11143,1.11173,3146
2019-11-05 14:00:00,1.11173,1.11176,1.11052,1.11092,3434
2019-11-05 15:00:00,1.11092,1.11114,1.10954,1.10994,3098
2019-11-05 16:00:00,1.10994,1.10998,1.1086,1.10885,3393
2019-11-05 17:00:00,1.10858,1.10858,1.10664,1.10724,6534
2019-11-05 18:00:00,1.10722,1.10758,1.1064,1.10698,3189
2019-11-05 19:00:00,1.10698,1.10735,1.1066799999999999,1.10679,1885
2019-11-05 20:00:00,1.10679,1.10754,1.10647,1.10682,1831
2019-11-05 21:00:00,1.10682,1.10704,1.10636,1.10648,1371
2019-11-05 22:00:00,1.10644,1.10742,1.10644,1.10714,1324
2019-11-05 23:00:00,1.10714,1.10747,1.10714,1.10739,843
2019-11-06 00:00:00,1.10743,1.10754,1.10723,1.10749,362
2019-11-06 01:00:00,1.10749,1.10756,1.10732,1.10741,530
2019-11-06 02:00:00,1.10741,1.10742,1.1066799999999999,1.1068,1236
2019-11-06 03:00:00,1.1068,1.10759,1.10679,1.10754,1346
2019-11-06 04:00:00,1.10754,1.10776,1.10741,1.10775,790
2019-11-06 05:00:00,1.10776,1.108,1.1076,1.10762,698
2019-11-06 06:00:00,1.10762,1.10764,1.10703,1.10707,621
2019-11-06 07:00:00,1.10707,1.1076,1.10699,1.1076,816
2019-11-06 08:00:00,1.10761,1.10786,1.10738,1.10757,1095
2019-11-06 09:00:00,1.10757,1.10806,1.10722,1.10794,2451
2019-11-06 10:00:00,1.10794,1.10904,1.10761,1.10882,3370
2019-11-06 11:00:00,1.10882,1.1093,1.10862,1.10914,2444
2019-11-06 12:00:00,1.10914,1.10924,1.10874,1.10898,2003
2019-11-06 13:00:00,1.10897,1.109,1.10814,1.10822,1763
2019-11-06 14:00:00,1.10822,1.1091,1.10772,1.10898,2205
2019-11-06 15:00:00,1.10895,1.1092,1.10872,1.1088,2089
2019-11-06 16:00:00,1.1088,1.10887,1.10787,1.10824,2651
