datetime,open,high,low,close,volume
2020-04-10 16:00:00,135.365,135.403,135.191,135.264,1931
2020-04-10 17:00:00,135.267,135.267,135.169,135.222,2059
2020-04-10 18:00:00,135.222,135.309,135.211,135.297,4552
2020-04-10 19:00:00,135.298,135.309,135.198,135.219,2337
2020-04-10 20:00:00,135.216,135.26,135.187,135.194,761
2020-04-10 21:00:00,135.194,135.243,135.139,135.147,1140
2020-04-10 22:00:00,135.148,135.184,135.095,135.159,1496
2020-04-10 23:00:00,135.159,135.261,134.943,134.943,1625
2020-04-13 00:00:00,134.963,135.224,134.963,135.176,138
2020-04-13 01:00:00,135.17,135.205,134.849,135.027,5032
2020-04-13 02:00:00,135.014,135.18,134.909,134.979,5712
2020-04-13 03:00:00,134.987,135.02,134.762,134.836,5185
2020-04-13 04:00:00,134.836,134.852,134.608,134.809,5676
2020-04-13 05:00:00,134.807,134.877,134.698,134.698,3936
2020-04-13 06:00:00,134.697,134.777,134.685,134.728,3195
2020-04-13 07:00:00,134.728,134.742,134.514,134.571,4492
2020-04-13 08:00:00,134.571,134.684,134.538,134.611,3358
2020-04-13 09:00:00,134.61,135.119,134.572,135.039,6193
2020-04-13 10:00:00,135.039,135.147,134.906,134.925,5952
2020-04-13 11:00:00,134.927,135.106,134.879,135.082,5551
2020-04-13 12:00:00,135.081,135.137,134.964,135.015,3421
2020-04-13 13:00:00,135.017,135.061,134.804,134.819,5642
2020-04-13 14:00:00,134.819,134.887,134.761,134.778,5030
2020-04-13 15:00:00,134.779,134.819,134.652,134.722,5895
2020-04-13 16:00:00,134.722,134.841,134.666,134.791,7371
2020-04-13 17:00:00,134.791,134.874,134.514,134.707,8559
2020-04-13 18:00:00,134.707,134.827,134.644,134.661,6522
2020-04-13 19:00:00,134.661,134.797,134.647,134.666,4888
2020-04-13 20:00:00,134.665,134.755,134.589,134.732,4140
2020-04-13 21:00:00,134.732,134.785,134.627,134.716,5042
2020-04-13 22:00:00,134.719,134.791,134.619,134.759,6216
2020-04-13 23:00:00,134.761,134.834,134.711,134.737,2272
2020-04-14 00:00:00,134.792,134.873,134.702,134.734,739
2020-04-14 01:00:00,134.734,134.809,134.658,134.756,1112
2020-04-14 02:00:00,134.756,134.86,134.748,134.754,2249
2020-04-14 03:00:00,134.754,134.834,134.586,134.803,5766
2020-04-14 04:00:00,134.803,135.151,134.744,135.118,4954
2020-04-14 05:00:00,135.117,135.223,135.067,135.219,4444
