symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,1,2020-05-22 00:00:00,2020-05-25 16:00:00,1725.7,1727.65,1710.70838,1755.68324,0.4816,19.5,9.39,-73.58,10,time_exit,OK,21.08467,9.99441,-0.37604,3.39839,,2020
XAUUSD,1,2020-05-26 04:00:00,2020-05-26 16:00:00,1731.49,1719.01024,1719.01024,1756.44952,0.5727,-124.8,-71.47,-71.7,3,stop_loss,OK,20.34493,8.31984,0.09316,3.61484,,2020
XAUUSD,1,2020-05-26 16:00:00,2020-05-26 20:00:00,1726.08,1713.65028,1713.65028,1750.93944,0.5692,-124.3,-70.75,-70.98,1,stop_loss,OK,21.93162,8.28648,-0.52237,3.49283,new_york,2020
XAUUSD,1,2020-05-27 04:00:00,2020-05-27 12:00:00,1713.4,1700.52178,1700.52178,1739.15645,0.5439,-128.8,-70.04,-70.26,2,stop_loss,OK,27.38749,8.58548,-1.73646,3.09088,,2020
XAUUSD,1,2020-05-27 20:00:00,2020-05-29 12:00:00,1708.0,1730.67,1694.02951,1735.94099,0.4963,226.7,112.51,-1.43,10,time_exit,OK,35.26814,9.31366,-1.81163,2.46408,new_york,2020
XAUUSD,1,2020-05-29 12:00:00,2020-06-02 04:00:00,1726.17,1736.51,1713.00306,1752.50389,0.5265,103.4,54.44,-66.43,10,time_exit,OK,32.11711,8.77796,0.37784,2.20824,london,2020
XAUUSD,1,2020-06-04 04:00:00,2020-06-05 12:00:00,1700.05,1684.58995,1684.58995,1730.9701,0.4441,-154.6,-68.66,-94.28,8,stop_loss,OK,30.66643,10.3067,-2.30055,1.53491,,2020
XAUUSD,1,2020-06-05 12:00:00,2020-06-05 16:00:00,1711.28,1696.51181,1696.51181,1740.81638,0.4585,-147.7,-67.71,-67.9,1,stop_loss,OK,28.9532,9.84546,-0.93319,1.23393,london,2020
XAUUSD,1,2020-06-08 00:00:00,2020-06-09 12:00:00,1682.73,1717.3369,1665.42655,1717.3369,0.3874,346.1,134.07,111.72,9,take_profit,OK,33.91577,11.53563,-2.78565,0.76174,,2020
XAUUSD,1,2020-06-09 12:00:00,2020-06-10 20:00:00,1705.87,1737.05044,1690.27978,1737.05044,0.4372,311.8,136.32,111.1,8,take_profit,OK,33.25528,10.39348,-0.41213,0.3442,london,2020
XAUUSD,1,2020-08-12 04:00:00,2020-08-12 08:00:00,1923.76,1892.04405,1892.04405,1987.19191,0.2184,-317.2,-69.27,-69.36,1,stop_loss,OK,34.02983,21.14397,-3.34838,4.67583,,2020
XAUUSD,1,2020-08-12 12:00:00,2020-08-14 04:00:00,1930.67,1952.94,1888.97504,2014.05991,0.1645,222.7,36.63,-1.13,10,time_exit,OK,37.57676,27.79664,-2.05555,3.306,london,2020
XAUUSD,1,2020-08-14 04:00:00,2020-08-17 20:00:00,1956.57,1984.25,1918.74857,2032.21287,0.1813,276.8,50.18,18.95,10,time_exit,OK,37.55583,25.21429,-0.60718,2.85089,,2020
XAUUSD,1,2020-08-20 04:00:00,2020-08-21 20:00:00,1942.81,1940.27,1909.90797,2008.61407,0.209,-25.4,-5.31,-17.37,10,time_exit,OK,23.99379,21.93469,-1.37622,2.62838,,2020
XAUUSD,1,2020-08-24 00:00:00,2020-08-25 16:00:00,1940.19,1916.16,1909.68752,2001.19497,0.2248,-240.3,-54.02,-66.99,10,time_exit,OK,29.52679,20.33499,-1.05437,2.14667,,2020
XAUUSD,1,2020-08-25 16:00:00,2020-08-27 08:00:00,1926.09,1942.49,1901.75953,1974.75093,0.2791,164.0,45.77,-18.3,10,time_exit,OK,27.53554,16.22031,-1.61813,2.02299,new_york,2020
XAUUSD,1,2020-08-28 00:00:00,2020-08-31 16:00:00,1929.19,1971.66,1901.62702,1984.31596,0.2457,424.7,104.35,62.02,10,time_exit,OK,22.21592,18.37532,-0.81705,1.2413,,2020
XAUUSD,1,2020-09-03 00:00:00,2020-09-04 16:00:00,1942.91,1920.25356,1920.25356,1988.22287,0.3016,-226.6,-68.33,-85.73,10,stop_loss,OK,22.973,15.10429,-0.87744,1.74068,,2020
XAUUSD,1,2020-09-16 04:00:00,2020-09-17 04:00:00,1952.96,1938.03578,1938.03578,1982.80844,0.4522,-149.2,-67.49,-145.39,6,stop_loss,OK,22.8173,9.94948,0.49755,1.25164,,2020
XAUUSD,1,2020-09-17 12:00:00,2020-09-21 04:00:00,1944.92,1953.37,1927.92601,1978.90799,0.3886,84.5,32.84,-56.38,10,time_exit,OK,21.88772,11.32933,-0.48709,1.16543,london,2020
XAUUSD,1,2020-09-22 00:00:00,2020-09-23 04:00:00,1912.36,1892.0024,1892.0024,1953.07521,0.3216,-203.6,-65.47,-84.02,7,stop_loss,OK,24.71076,13.57174,-2.46422,0.58901,,2020
XAUUSD,1,2020-09-23 04:00:00,2020-09-23 08:00:00,1902.61,1882.81196,1882.81196,1942.20609,0.3264,-198.0,-64.62,-64.75,1,stop_loss,OK,38.97366,13.1987,-2.5558,0.04239,,2020
XAUUSD,1,2020-11-10 04:00:00,2020-11-11 20:00:00,1874.35,1865.25,1846.6587,1929.7326,0.231,-91.0,-21.02,-34.35,10,time_exit,OK,34.925,18.46087,-1.95174,0.16067,,2020
XAUUSD,1,2020-12-23 04:00:00,2020-12-24 20:00:00,1866.02,1879.51,1848.38058,1901.29884,0.3608,134.9,48.67,-13.49,10,time_exit,OK,25.83212,11.75961,0.02773,0.44781,,2020
XAUUSD,1,2021-01-08 00:00:00,2021-01-08 08:00:00,1915.21,1896.04787,1896.04787,1953.53425,0.3314,-191.6,-63.5,-63.64,2,stop_loss,OK,29.49404,12.77475,0.22538,2.34178,,2021
XAUUSD,1,2021-01-11 00:00:00,2021-01-12 16:00:00,1851.61,1839.55,1826.21502,1902.39996,0.2475,-120.6,-29.85,-44.13,10,time_exit,OK,36.01459,16.92999,-3.26593,1.38582,,2021
XAUUSD,1,2021-01-13 00:00:00,2021-01-14 04:00:00,1854.98,1830.3584,1830.3584,1904.2232,0.2535,-246.2,-62.42,-106.09,7,stop_loss,OK,42.97305,16.4144,-1.68476,0.32633,,2021
XAUUSD,1,2021-01-14 04:00:00,2021-01-15 16:00:00,1849.17,1828.22613,1828.22613,1891.05773,0.293,-209.4,-61.37,-78.27,9,stop_loss,OK,37.76581,13.96258,-1.88329,0.0042,,2021
XAUUSD,1,2021-04-28 20:00:00,2021-04-29 16:00:00,1774.68,1763.41419,1763.41419,1797.21162,0.5377,-112.7,-60.58,-153.21,5,stop_loss,OK,23.94838,7.51054,0.07531,2.13336,new_york,2021
XAUUSD,1,2021-04-30 00:00:00,2021-05-03 16:00:00,1772.42,1792.87,1759.09907,1799.06185,0.4433,204.5,90.65,14.28,10,time_exit,OK,21.04252,8.88062,-0.35157,1.7605,,2021
XAUUSD,1,2021-05-05 00:00:00,2021-05-06 16:00:00,1778.19,1803.47041,1765.5498,1803.47041,0.4683,252.8,118.39,37.71,10,take_profit,OK,20.13934,8.4268,0.14061,1.76485,,2021
XAUUSD,1,2021-05-13 16:00:00,2021-05-17 00:00:00,1817.0,1846.99218,1802.00391,1846.99218,0.3972,299.9,119.13,27.94,8,take_profit,OK,29.22905,9.99739,0.346,3.22821,new_york,2021
XAUUSD,1,2021-06-04 12:00:00,2021-06-04 16:00:00,1869.57,1895.71138,1856.49931,1895.71138,0.4579,261.4,119.7,119.52,1,take_profit,OK,27.7819,8.71379,-2.31025,5.15468,london,2021
XAUUSD,1,2021-06-04 16:00:00,2021-06-08 08:00:00,1884.66,1892.59,1870.67579,1912.62843,0.4365,79.3,34.61,-65.6,10,time_exit,OK,28.03537,9.32281,-0.51952,4.75419,new_york,2021
XAUUSD,1,2021-06-14 20:00:00,2021-06-16 12:00:00,1864.23,1857.8,1849.2137,1894.2626,0.4021,-64.3,-25.86,-72.09,10,time_exit,OK,33.01911,10.01087,-2.07685,2.70795,new_york,2021
XAUUSD,1,2021-06-16 20:00:00,2021-06-17 00:00:00,1859.32,1846.87702,1846.87702,1884.20596,0.4795,-124.4,-59.66,-142.27,1,stop_loss,OK,43.97036,8.29532,-1.96776,2.09951,new_york,2021
XAUUSD,1,2021-06-17 04:00:00,2021-06-17 12:00:00,1817.75,1800.02835,1800.02835,1853.1933,0.3287,-177.2,-58.25,-58.38,2,stop_loss,OK,48.51545,11.81443,-4.50492,1.15153,,2021
XAUUSD,1,2021-06-18 00:00:00,2021-06-21 16:00:00,1774.99,1783.16,1753.75086,1817.46829,0.2715,81.7,22.18,-24.59,10,time_exit,OK,56.70357,14.15943,-5.87309,0.15427,,2021
XAUUSD,1,2021-09-08 04:00:00,2021-09-08 16:00:00,1798.4,1787.85976,1787.85976,1819.48049,0.5447,-105.4,-57.41,-57.63,3,stop_loss,OK,23.32842,7.02683,-1.69052,1.45187,,2021
XAUUSD,1,2021-09-09 12:00:00,2021-09-09 16:00:00,1794.75,1784.47863,1784.47863,1815.29274,0.5534,-102.7,-56.84,-57.06,1,stop_loss,OK,32.08695,6.84758,-1.58334,0.87781,london,2021
XAUUSD,1,2021-09-09 20:00:00,2021-09-13 12:00:00,1793.79,1785.9,1782.31622,1816.73757,0.4904,-78.9,-38.69,-151.28,10,time_exit,OK,31.23718,7.64919,-1.41975,0.67496,new_york,2021
XAUUSD,1,2021-09-13 20:00:00,2021-09-14 12:00:00,1793.82,1782.49565,1782.49565,1816.46869,0.4835,-113.2,-54.75,-82.65,4,stop_loss,OK,23.84392,7.54956,-0.80323,0.16054,new_york,2021
XAUUSD,1,2021-11-01 00:00:00,2021-11-02 16:00:00,1782.92,1788.39,1769.58011,1809.59977,0.4043,54.7,22.12,-1.21,10,time_exit,OK,20.68432,8.89326,-0.78308,1.15943,,2021
XAUUSD,1,2021-11-03 12:00:00,2021-11-03 16:00:00,1781.7,1771.30193,1771.30193,1802.49613,0.5185,-104.0,-53.91,-54.12,1,stop_loss,OK,20.4112,6.93204,-1.06361,1.19161,london,2021
XAUUSD,1,2021-11-04 00:00:00,2021-11-04 16:00:00,1770.56,1795.82653,1757.92674,1795.82653,0.4225,252.7,106.75,106.58,4,take_profit,OK,27.28149,8.42218,-2.03823,0.75366,,2021
XAUUSD,1,2021-11-22 04:00:00,2021-11-22 16:00:00,1845.8,1833.02041,1833.02041,1871.35917,0.426,-127.8,-54.44,-54.61,3,stop_loss,OK,21.4672,8.51972,-0.58508,4.28765,,2021
XAUUSD,1,2021-11-23 04:00:00,2021-11-23 08:00:00,1811.35,1797.00556,1797.00556,1840.03888,0.3757,-143.4,-53.89,-54.04,1,stop_loss,OK,34.45106,9.56296,-3.54067,3.16858,,2021
XAUUSD,1,2021-11-24 00:00:00,2021-11-25 16:00:00,1789.27,1788.35,1773.97032,1819.86937,0.3487,-9.2,-3.21,-63.28,10,time_exit,OK,45.48606,10.19979,-4.57613,2.14188,,2021
XAUUSD,1,2021-11-26 00:00:00,2021-11-26 12:00:00,1790.49,1812.50166,1779.48417,1812.50166,0.479,220.1,105.44,105.24,3,take_profit,OK,54.55098,7.33722,-4.06621,0.98764,,2021
XAUUSD,1,2021-11-26 12:00:00,2021-11-26 16:00:00,1809.78,1798.37261,1798.37261,1832.59478,0.4714,-114.1,-53.77,-53.96,1,stop_loss,OK,48.12776,7.60493,-0.86673,0.72401,london,2021
XAUUSD,1,2021-11-29 00:00:00,2021-11-30 16:00:00,1789.27,1774.90244,1774.90244,1818.00513,0.3705,-143.7,-53.23,-74.61,10,stop_loss,OK,41.73303,9.57838,-2.38764,0.36139,,2021
XAUUSD,1,2021-12-30 12:00:00,2021-12-31 00:00:00,1800.19,1818.49518,1791.03741,1818.49518,0.5735,183.1,104.98,71.89,3,take_profit,OK,20.54104,6.10173,-0.13727,0.56176,london,2021
XAUUSD,1,2022-01-04 00:00:00,2022-01-05 12:00:00,1802.37,1824.52086,1791.29457,1824.52086,0.4804,221.5,106.41,78.7,9,take_profit,OK,20.69405,7.38362,-0.91611,1.05553,,2022
XAUUSD,1,2022-01-06 20:00:00,2022-01-10 12:00:00,1791.04,1793.01,1778.17406,1816.77189,0.4197,19.7,8.27,-88.08,10,time_exit,OK,20.23623,8.5773,-1.9636,0.74349,new_york,2022
XAUUSD,1,2022-01-10 12:00:00,2022-01-11 20:00:00,1796.83,1818.84862,1785.82069,1818.84862,0.4824,220.2,106.22,78.39,8,take_profit,OK,29.23676,7.33954,-0.85951,0.32654,london,2022
XAUUSD,1,2022-01-27 12:00:00,2022-01-27 16:00:00,1816.06,1804.43656,1804.43656,1839.30688,0.4637,-116.2,-53.9,-54.08,1,stop_loss,OK,23.9051,7.74896,-1.93863,1.98055,london,2022
XAUUSD,1,2022-01-28 00:00:00,2022-01-28 12:00:00,1797.77,1784.26693,1784.26693,1824.77615,0.3951,-135.0,-53.35,-53.51,3,stop_loss,OK,31.63401,9.00205,-3.33413,1.33367,,2022
XAUUSD,1,2022-01-31 00:00:00,2022-02-01 16:00:00,1789.54,1802.75,1776.39015,1815.8397,0.4017,132.1,53.06,29.89,10,time_exit,OK,43.5328,8.76657,-3.15956,0.65516,,2022
XAUUSD,1,2022-02-25 20:00:00,2022-03-01 12:00:00,1887.43,1916.85,1862.04512,1938.19975,0.2093,294.2,61.58,13.53,10,time_exit,OK,26.97617,16.92325,-0.3939,2.612,new_york,2022
XAUUSD,1,2022-03-14 08:00:00,2022-03-15 00:00:00,1977.59,1948.2637,1948.2637,2036.2426,0.1816,-293.3,-53.26,-63.73,4,stop_loss,OK,21.26494,19.55087,0.20824,3.5049,london,2022
XAUUSD,1,2022-03-15 20:00:00,2022-03-16 20:00:00,1929.29,1903.62039,1903.62039,1980.62923,0.205,-256.7,-52.62,-64.45,6,stop_loss,OK,33.26354,17.11308,-2.06784,3.2862,new_york,2022
XAUUSD,1,2022-03-17 00:00:00,2022-03-18 16:00:00,1926.56,1928.42,1901.55638,1976.56725,0.2079,18.6,3.87,-8.13,10,time_exit,OK,42.5169,16.66908,-1.63869,2.65762,,2022
XAUUSD,1,2022-03-18 16:00:00,2022-03-22 08:00:00,1935.71,1924.71,1915.52999,1976.07002,0.2571,-110.0,-28.28,-87.3,10,time_exit,OK,36.67415,13.45334,-0.92759,2.69801,new_york,2022
XAUUSD,1,2022-03-22 08:00:00,2022-03-22 16:00:00,1934.7,1916.73506,1916.73506,1970.62988,0.284,-179.6,-51.02,-51.13,2,stop_loss,OK,29.01461,11.97663,-0.57992,2.36326,london,2022
XAUUSD,1,2022-03-22 16:00:00,2022-03-24 08:00:00,1927.98,1940.85,1910.10819,1963.72362,0.2826,128.7,36.37,-28.51,10,time_exit,OK,27.42348,11.91454,-1.05236,2.25522,new_york,2022
XAUUSD,1,2022-03-24 12:00:00,2022-03-28 04:00:00,1940.85,1943.27,1925.03067,1972.48865,0.3175,24.2,7.68,-65.21,10,time_exit,OK,21.47135,10.54622,0.30675,2.09754,london,2022
XAUUSD,1,2022-03-28 16:00:00,2022-03-28 20:00:00,1938.42,1920.95676,1920.95676,1973.34649,0.2838,-174.6,-49.56,-49.67,1,stop_loss,OK,20.95924,11.64216,-0.41851,2.00312,new_york,2022
XAUUSD,1,2022-03-29 04:00:00,2022-03-29 12:00:00,1922.5,1904.69806,1904.69806,1958.10388,0.2757,-178.0,-49.08,-49.19,2,stop_loss,OK,25.07293,11.86796,-1.60679,1.79619,,2022
XAUUSD,1,2022-03-29 20:00:00,2022-03-31 12:00:00,1915.38,1934.08,1894.76735,1956.6053,0.2357,187.0,44.08,-10.04,10,time_exit,OK,31.31393,13.74177,-1.58592,1.25658,new_york,2022
XAUUSD,1,2022-03-31 12:00:00,2022-04-04 04:00:00,1925.08,1917.69,1907.14916,1960.94168,0.2704,-73.9,-19.98,-82.06,10,time_exit,OK,29.59761,11.95389,-0.68268,1.08288,london,2022
XAUUSD,1,2022-04-04 04:00:00,2022-04-05 20:00:00,1925.59,1923.43,1909.22052,1958.32897,0.2911,-21.6,-6.29,-23.08,10,time_exit,OK,20.32806,10.91299,-0.64562,1.02649,,2022
XAUUSD,1,2022-04-20 12:00:00,2022-04-22 04:00:00,1946.68,1952.32,1931.25158,1977.53685,0.3074,56.4,17.34,-53.23,10,time_exit,OK,31.65122,10.28562,-1.29698,2.16996,london,2022
XAUUSD,1,2022-04-22 08:00:00,2022-04-22 12:00:00,1952.34,1937.95401,1937.95401,1981.11197,0.326,-143.9,-46.9,-47.03,1,stop_loss,OK,27.40814,9.59066,-0.44941,1.83249,london,2022
XAUUSD,1,2022-04-25 12:00:00,2022-04-25 16:00:00,1916.51,1901.04207,1901.04207,1947.44587,0.3001,-154.7,-46.42,-46.54,1,stop_loss,OK,37.47844,10.31196,-3.23733,1.1136,london,2022
